mzmed,rtmed,g3
696.3697021,11.23793333,75.32468688
544.1978116,11.23793333,28.59325336
654.3930451,11.24513333,31.76914464
721.1436266,11.247075,74.25871528
230.9976583,11.247075,1461.398548
232.99537,11.257325,95.45007979
410.1483218,11.25853333,212.8808193
608.3040014,11.25853333,115.807181
232.0006598,11.25998333,146.5169976
936.3837181,11.26028333,34.72407898
444.0927006,11.260475,45.16004758
936.8866324,11.26106667,18.37124879
609.3061728,11.26131667,32.14100415
401.2173222,11.26134167,236.2108467
314.9487633,11.26136667,27.46186997
252.9796526,11.26138333,34.64013328
330.921562,11.2614,29.46435731
375.9184703,11.26141667,25.91802488
395.1929192,11.263925,166.5232865
435.9518476,11.26400833,14.3696806
787.2620948,11.2667,19.19654546
634.1721436,11.27744167,58.22944607
418.1699701,11.28865,55.59452222
564.2881399,11.2892,44.90080005
564.7907289,11.29149167,33.89551857
591.0698771,11.30526667,178.6865478
437.2401475,11.31545,60.66330099
262.0587721,11.31555,103.1195186
438.2405422,11.315925,29.1315313
375.1293111,11.31613333,760.8405901
590.30234,11.31613333,38.10092198
376.1327747,11.319325,144.6739996
425.2032454,11.319325,338.2898896
412.1705673,11.31943333,23.18292581
426.2071862,11.32121667,80.81252767
289.0861131,11.34373333,211.1544769
276.0550284,11.34408333,61.25065933
532.2685654,11.34513333,51.41919344
270.0084025,11.346975,133.7895542
635.1154491,11.34875833,55.30157375
271.0117734,11.352,20.77578666
634.1118183,11.3571,168.3636461
518.1659388,11.3622,96.35963083
636.1113813,11.3622,35.92482688
531.2658283,11.36903333,177.9778587
612.1770819,11.37125,91.04281863
523.115704,11.37131667,26.95976916
533.2790526,11.3733,31.07124217
648.3606217,11.37666667,49.93111777
567.1423661,11.37666667,44.51155776
510.1668548,11.38076667,23.20475228
350.1453395,11.38076667,20.35993466
526.1593301,11.39471667,37.37844457
530.1564411,11.39895,23.27233761
842.2984286,11.39895,132.5017671
843.3021369,11.399325,61.22130152
509.1650836,11.402325,158.8237479
616.2459277,11.40361667,26.22660663
453.1971586,11.40424167,36.73486215
345.0405758,11.42666667,36.76846099
348.9526,11.42975,39.40812572
383.0922345,11.43138333,25.25445511
598.2809151,11.43465,23.09865063
306.5340399,11.43465,59.77262066
597.2763789,11.43486667,63.61757852
235.0733794,11.43495,340.0324162
664.1230962,11.44061667,32.56320704
365.0994861,11.44061667,37.27909
236.0761059,11.44658333,43.78416988
364.0972203,11.449025,143.5886576
549.2188391,11.45053333,38.56603489
363.9848649,11.45053333,47.39827574
181.0517201,11.452975,77.44045416
160.0416571,11.45448333,93.38599327
204.0314048,11.456025,329.6921665
616.3184718,11.46256667,101.4229207
331.1033699,11.46521667,41.1202867
303.1453424,11.473475,95.42557426
541.1184559,11.474475,40.68486588
617.3215521,11.47593333,38.24128853
627.2615882,11.48265,41.58354433
365.1436314,11.48316667,56.18311904
200.987335,11.48710833,352.9851304
815.256983,11.4892,111.5972072
393.1333424,11.49098333,120.9182388
436.1641029,11.49156667,39.64840709
374.1383721,11.49875,69.70192474
519.2080564,11.4993,43.63365836
