mzmed,rtmed,neg_c1
445.1328805,10.90344167,214.1177855
478.2292578,10.91085833,80.00518461
466.1113495,10.9109,64.233316
956.5162373,10.929425,49.72505076
719.3352525,10.93374167,53.16662883
306.0844563,10.94188333,38.89417059
612.3711591,10.942125,49.10411929
587.1069478,10.94236667,201.9193183
313.0613059,10.94239167,44.50360624
620.1716336,10.94881667,75.93914458
516.1863647,10.95268333,827.6216791
517.1897803,10.96285833,240.2131599
656.2890031,10.97351667,55.88506828
619.1808382,10.97378333,40.61794221
618.1771903,10.97426667,97.55432154
694.1974595,10.97453333,230.1940959
695.201115,10.97609167,96.78707892
657.1998353,10.98281667,41.28930823
360.166098,10.98588333,41.38565974
405.1699749,10.98588333,148.4707136
488.0623524,11.00415,96.03976764
451.217439,11.00415,132.204693
487.0592923,11.00465,368.2004627
678.2664388,11.00631667,25.72249165
489.057395,11.00631667,59.21513307
377.1223472,11.00956667,33.28026937
406.1705257,11.00956667,49.18493916
677.2621938,11.01096667,78.38076136
392.0095593,11.01235833,58.31396312
387.0172936,11.01588333,25.12418017
551.1977224,11.02611667,72.3166692
326.0200283,11.03635,178.5919209
325.0259448,11.03639167,287.4300972
452.1760573,11.03643333,35.59141241
649.052574,11.036975,64.24288663
561.1587447,11.036975,37.02674232
324.0236064,11.036975,1740.898746
776.2344252,11.03751667,39.16543932
451.1732791,11.03845,204.699927
376.1871798,11.04120833,234.7983779
602.3004964,11.04513333,47.71234786
351.1574721,11.05439167,60.83485101
561.3108186,11.05490833,18.93116694
438.1629559,11.06790833,95.64383209
504.187576,11.06790833,69.05830903
437.1593028,11.068125,414.4686237
295.1304504,11.06956667,65.20810247
384.1295396,11.07045833,113.8334175
738.1562331,11.07195,74.74252681
486.1730255,11.08399167,88.27920946
560.3076597,11.09603333,67.8048232
514.3023914,11.09614167,43.88982835
737.1589021,11.09655,208.279931
707.263553,11.09714167,26.44236892
496.0970711,11.09756667,57.14886561
644.6523011,11.09803333,60.60798056
736.1562546,11.09803333,548.615521
927.4396586,11.09831667,29.24945318
